sector,outcome,scenario,year,model_SD,weather_SD,stat_SD,all_SD
health,mortage1to44,rcp85,2080,2.05626281234e-05,2.70204569944e-07,3.8127592674e-06,2.14607376773e-05
yields,wheatnoco2,rcp45,2080,0.0393171876464,0.00210390467206,0.0320044266892,0.0439125667772
yields,maize,rcp45,2080,0.203296823764,0.00839464570592,0.0621033278918,0.199690770464
yields,maize,rcp26,2040,0.0769954059877,0.00595112835637,0.0265439056043,0.0768660869851
yields,oilcrop,rcp45,2040,0.110393522669,0.00940804904643,0.0307224335454,0.113307113097
yields,oilcropnoco2,rcp45,2080,0.188254244701,0.00874543252052,0.0288631343978,0.178622056681
yields,grainsnoco2,rcp45,2020,0.0567783289063,0.00625773447483,0.0121648657633,0.0589396494439
yields,cotton,rcp45,2020,0.0462633725095,0.00538299549925,0.109991839565,0.0544438176404
yields,maizenoco2,rcp45,2020,0.0846828349672,0.0107067798892,0.0246726703394,0.0878287825004
health,mortality,rcp85,2020,2.5265149275e-05,4.52648893754e-06,2.74550295335e-05,2.86900782404e-05
yields,total,rcp45,2040,0.0892239108843,0.00764633319603,0.0162243963363,0.0871241145873
crime,property,rcp60,2040,0.00265759312495,0.000311080218782,0.000578036724666,0.00274535262901
yields,totalnoco2,rcp85,2020,0.0564128986728,0.00564141227421,0.00439601170665,0.057237015195
health,mortality,rcp26,2020,2.17741436685e-05,4.359762414e-06,2.42710873358e-06,2.51201796926e-05
yields,oilcropnoco2,rcp26,2080,0.0863293507903,0.0107504106725,0.0173447745485,0.0836932324994
health,mortality,rcp26,2080,2.29075558205e-05,2.89004405531e-06,6.14670179797e-06,2.68900610848e-05
yields,cotton,rcp26,2020,0.0481693801462,0.00592646783631,0.0260848025354,0.0509310649321
health,mortage0to0,rcp60,2020,1.20765858186e-05,4.40707649857e-06,1.1910789035e-06,1.38180273213e-05
crime,property,rcp45,2020,0.00261893984844,0.000384769835788,0.000165563799718,0.00269384916242
health,mortage0to0,rcp26,2020,1.54461732461e-05,3.35369262895e-06,2.62343451384e-06,1.71764364623e-05
health,mortage1to44,rcp85,2020,4.95923453376e-06,3.46621269255e-07,1.23186497572e-06,4.78784111933e-06
health,mortage65toinf,rcp85,2040,0.000194231432551,3.24801406835e-05,0.000107743190493,0.000239342741875
crime,violent,rcp85,2020,0.00546906277881,0.000124257762018,0.000321910957998,0.00514507455218
yields,wheat,rcp26,2040,0.0170104823248,0.00189770062309,0.0127376935231,0.0209722475704
crime,violent,rcp45,2020,0.00563166942333,0.000112055679573,0.000175512334187,0.00545427840786
health,mortage1to44,rcp60,2080,1.03900608517e-05,5.77396041744e-07,5.3732608215e-07,1.15269101522e-05
yields,grainsnoco2,rcp45,2040,0.0794236600467,0.0067643469594,0.0200029562604,0.077327690429
yields,wheat,rcp85,2040,0.0297624174599,0.0020457341903,0.0207274840883,0.0429761900855
yields,maizenoco2,rcp45,2080,0.193131066893,0.00796732389829,0.0549202007284,0.188412317797
