fips,av_11,av_21,av_22,av_23,av_31,av_42,av_44,av_48,av_51,av_52,av_53,av_54,av_55,av_56,av_61,av_62,av_71,av_72,av_81,av_92
"02150",77.16666,0,0,171.6667,1508.5,0,571.8333,291.1667,67.33334,92.83334,94.16666,58.83333,24.4,65.4,0,114.8333,22.16667,460.3333,262,520.5
"02164",0,0,0,5.8,67.8,0,29.16667,52.56667,0,1.8,0,0,0,0,0,0,17.16667,0,0,95.2
"02170",63.4,47.2,29.4,1505.667,179.8333,15,2701.5,492.5,460.6667,357,131.5,314.7333,54.6,380.5,249,1896.833,251.5,1444.333,431.6667,794.8333
"02180",0,0,48.66667,106.4,10,0,285.1667,297,15.6,179,108.5,21.83333,0,12,647.3333,684.3333,64,144.1667,44.66667,445.3667
"02185",0,4444.167,0,0,0,0,282.3333,69.76667,10,0,0,83.53333,0,579.8333,0,0,63.16667,350,158.8333,399.1
"02188",0,0,0,48.6,0,0,140.5,111.6667,51,0,0,1.833333,0,1.6,562.6667,0,74.5,67.8,41.66667,133.0333
"02201",67.6,6.6,0,36.8,113.6667,0,240,95.66667,1,49.4,12,4,0,0,117,78.33334,7.6,151.8,37.33333,473.5
"02220",0,0,0,79.4,105.5,43.16667,525.6667,281.5,44.16667,80.33333,45.16667,29.76667,0,50.66667,118,745.5,66.16667,376.3333,103.1667,375
"02232",0,0,0,45.83333,19.4,0,218.8333,151,6,13.2,5,3.5,0,5.4,181.8,39.16667,140,220.2,28.16667,197.1333
"02240",3.8,1.6,0,81,22.2,0,239.1667,107.1667,22.6,4.6,8,64.66667,0,133.3333,220.7333,53.6,10.2,31,30.16667,318.6333
"02261",21.8,4.6,63.6,261.3333,440.8,52.6,418.1667,659,97.16666,76.33334,61,23.6,5,191.5,60.6,155.4,100,405.5,185,350.9
"02270",0,0,0,39.6,0,0,274,156.0333,0,36.83333,0,0,0,0,140.4,0,6.2,0,81.4,489.2
"02280",0,0,0,74,459.1667,0,310.6667,112.6667,48.16667,81.4,10,15.5,0,23.6,0,109.1667,10.4,144.6,62.5,245.5
"02282",0,0,0,7.4,12.4,0,14.6,14.3,0,0,0,5.5,0,0,0,0,3.333333,0,0,19.1
"02290",0,0,3.8,128.6,0,0,118.3333,132.1667,12.4,0,0,6.1,0,0,678.5333,156.6,26.66667,22.8,49.83333,173.1
"02999",13,22.4,0,51.2,0,168.4,15.4,125.4,35.8,10.4,4.4,28.8,0,295.6,17.6,166,1,1.4,70.8,3.2
"04000",29283.4,8820.433,20766.17,187004.2,188367.3,95616.16,281610.3,78026.17,52143.5,113696.2,45080,106417.3,21344,205440.2,169701.1,222118.8,44931.5,207599.1,67427.17,139630.8
