ANSI,NAME,REGION
18069,"Huntington County, IN","MWE"
18071,"Jackson County, IN","MWE"
18073,"Jasper County, IN","MWE"
18075,"Jay County, IN","MWE"
18077,"Jefferson County, IN","MWE"
18079,"Jennings County, IN","MWE"
18081,"Johnson County, IN","MWE"
18083,"Knox County, IN","MWE"
18085,"Kosciusko County, IN","MWE"
18087,"LaGrange County, IN","MWE"
18089,"Lake County, IN","MWE"
18091,"LaPorte County, IN","MWE"
18093,"Lawrence County, IN","MWE"
18095,"Madison County, IN","MWE"
18097,"Marion County, IN","MWE"
18099,"Marshall County, IN","MWE"
18101,"Martin County, IN","MWE"
18103,"Miami County, IN","MWE"
18105,"Monroe County, IN","MWE"
18107,"Montgomery County, IN","MWE"
18109,"Morgan County, IN","MWE"
18111,"Newton County, IN","MWE"
18113,"Noble County, IN","MWE"
18115,"Ohio County, IN","MWE"
18117,"Orange County, IN","MWE"
18119,"Owen County, IN","MWE"
18121,"Parke County, IN","MWE"
18123,"Perry County, IN","MWE"
18125,"Pike County, IN","MWE"
18127,"Porter County, IN","MWE"
18129,"Posey County, IN","MWE"
18131,"Pulaski County, IN","MWE"
