"county","violent","property"
"48459",33.0833333333333,91.4166666666667
"48461",1.5,2
"48463",51.9791666666667,103.4375
"48465",NA,NA
"48467",43.0416666666667,110.0625
"48469",161.625,359.583333333333
"48471",68.7916666666667,149.75
"48473",30.2083333333333,95.25
"48475",13.2083333333333,14.9375
"48477",47.375,77.2083333333333
"48479",334.75,1074.91666666667
"48481",69.9444444444444,140.930555555556
"48483",2.72222222222222,5.125
"48485",298.166666666667,671.2
"48487",28.3194444444444,56.25
"48489",NA,NA
"48491",213.152777777778,454.541666666667
"48493",21.75,37.1666666666667
"48495",NA,NA
"48497",34.4583333333333,79.3888888888889
"48499",33.6527777777778,60.4305555555556
"48501",5.28333333333333,8.16666666666667
"48503",18.5555555555556,38.2916666666667
"48505",NA,NA
"48507",16.0833333333333,18.0416666666667
"49001",3.81944444444444,8.05555555555556
"49003",27.5833333333333,95.9722222222222
"49005",38.5,163.736111111111
"49007",28.2916666666667,57.3055555555556
"49009",NA,NA
"49011",183.152777777778,552.208333333333
"49013",17.3333333333333,31
"49015",4.27777777777778,16.1944444444444
"49017",NA,NA
"49019",12.1111111111111,34
"49021",18.6944444444444,78.2222222222222
"49023",2.75,13.1
"49025",2.41666666666667,5.41666666666667
"49027",7.13888888888889,30.3055555555556
"49029",1.95833333333333,6.76388888888889
"49031",0.583333333333333,1.94444444444444
"49033",0.375,4.13888888888889
"49035",1316.36111111111,4219.05555555556
"49037",4.40277777777778,6.56944444444444
"49039",8.43055555555556,28.8333333333333
"49041",13.875,57.7638888888889
"49043",21.0694444444444,93
"49045",46.3472222222222,92.9305555555556
"49047",22.7916666666667,63.6388888888889
"49049",190.097222222222,1099.40277777778
"49051",6.34722222222222,17.0416666666667
"49053",65.3194444444444,164.722222222222
"49055",0.75,3.8
"49057",282.777777777778,740.944444444444
"50001",6.73611111111111,28.8194444444444
"50003",28.6388888888889,84.0138888888889
"50005",13.9444444444444,62.6666666666667
"50007",77.6805555555556,394.152777777778
"50011",15.0416666666667,44.6666666666667
"50015",16.0555555555556,73.5833333333333
"50017",6.19444444444444,17.6944444444444
"50019",7.36111111111111,19.2638888888889
"50021",24.5,108.333333333333
"50023",21.5,85.9444444444444
"50025",23.9305555555556,84.0833333333333
"50027",20.7638888888889,52.3472222222222
"51001",37.3194444444444,59.1527777777778
"51003",92.7777777777778,159.472222222222
"51005",11.3194444444444,9.91666666666667
"51007",10.3333333333333,10.1944444444444
"51009",14.1805555555556,31.5833333333333
"51011",6.05555555555556,10.0833333333333
"51013",114.430555555556,395.013888888889
"51015",33.6111111111111,67.4583333333333
"51017",0.347222222222222,1.26388888888889
"51019",49.9027777777778,61.0416666666667
"51023",14.7638888888889,31.9444444444444
"51025",4.72222222222222,16.1944444444444
"51027",23.3333333333333,46.1527777777778
"51029",16.8055555555556,16.2222222222222
"51031",60.1666666666667,69.3194444444444
"51033",17.5138888888889,18.4305555555556
"51035",23.5972222222222,37.8055555555556
"51036",1.79166666666667,2.38888888888889
"51037",11.9166666666667,6.19444444444444
"51041",398.805555555556,655.527777777778
"51043",9.81944444444444,20.5833333333333
"51045",3.68055555555556,1.625
"51047",38,41.7777777777778
"51049",7.55555555555556,6.68055555555556
"51051",5.875,17.5277777777778
"51053",6.98611111111111,51.2361111111111
"51057",9.30555555555556,20.7777777777778
"51059",543.027777777778,1373.25
"51061",51.75,72.9583333333333
"51063",2.29166666666667,14.3333333333333
"51065",17.2083333333333,18.1666666666667
"51067",18.3333333333333,58.9166666666667
"51069",60.1805555555556,106.027777777778
"51071",11.0833333333333,9.13888888888889
"51073",36.0138888888889,42.0694444444444
"51077",9.65277777777778,12.4861111111111
"51079",9.38888888888889,11.9861111111111
"51081",7.16666666666667,15.75
"51083",26.8194444444444,60.1111111111111
"51085",54.9722222222222,120.263888888889
"51087",292.402777777778,885.305555555556
"51089",61.2083333333333,122.902777777778
"51091",0.520833333333333,0.875
"51093",33.5555555555556,61.9444444444444
"51095",59.4305555555556,77.8611111111111
"51099",25.6805555555556,33.1944444444444
"51103",3.69444444444444,10.5555555555556
"51105",18.1111111111111,35.4583333333333
"51107",196.819444444444,314.402777777778
"51109",14.3333333333333,34.1805555555556
"51111",8.18055555555556,10.4444444444444
"51113",6.73611111111111,6.86111111111111
"51117",22.4444444444444,57.5138888888889
"51121",100.347222222222,150.111111111111
"51125",9.44444444444444,19.625
"51127",13.9444444444444,19.1388888888889
"51131",11.2083333333333,24.6944444444444
"51135",13.2777777777778,24.1944444444444
"51137",15.7222222222222,24.4861111111111
"51139",7.01388888888889,22.5277777777778
"51141",12.2222222222222,31.2777777777778
"51143",41.4305555555556,39.9722222222222
"51145",10.7222222222222,19
"51147",10.7083333333333,14.75
"51149",18.3055555555556,37.6944444444444
"51153",290.125,657.944444444444
"51155",28.7777777777778,81.9861111111111
"51157",2.51388888888889,4.45833333333333
"51159",NA,NA
"51161",114.638888888889,115.097222222222
"51163",8.93055555555556,17.9166666666667
"51165",13.7083333333333,52.4861111111111
"51167",21.4166666666667,37.5416666666667
"51169",17.5416666666667,33.1388888888889
"51171",22.9583333333333,36.4166666666667
"51173",32.9166666666667,51.7083333333333
"51175",11.0833333333333,24.5833333333333
"51177",95.7638888888889,166.277777777778
"51179",96.9444444444444,144.763888888889
"51181",8.34722222222222,8.43055555555556
"51183",13.2916666666667,17.6527777777778
"51185",40.4027777777778,101.111111111111
"51187",36.0833333333333,68.8611111111111
"51191",30.6944444444444,92.8194444444444
"51193",14.0555555555556,18.7777777777778
"51195",57.8333333333333,61.1388888888889
"51197",16.9444444444444,53.5972222222222
"51199",44.1527777777778,96.2916666666667
"51550",363.25,641.8125
"51580",8.31944444444444,18.9583333333333
