Region,FIPS,County,EA,"EA Name"
"MO - Kansas City",20045,"Douglas County, KS",084,"Kansas City-Overland Park-Kansas City, MO-KS"
"MO - Kansas City",20059,"Franklin County, KS",084,"Kansas City-Overland Park-Kansas City, MO-KS"
"MO - Kansas City",20091,"Johnson County, KS",084,"Kansas City-Overland Park-Kansas City, MO-KS"
"MO - Kansas City",20103,"Leavenworth County, KS",084,"Kansas City-Overland Park-Kansas City, MO-KS"
"MO - Kansas City",20107,"Linn County, KS",084,"Kansas City-Overland Park-Kansas City, MO-KS"
"MO - Kansas City",20121,"Miami County, KS",084,"Kansas City-Overland Park-Kansas City, MO-KS"
"MO - Kansas City",20209,"Wyandotte County, KS",084,"Kansas City-Overland Park-Kansas City, MO-KS"
"MO - Kansas City",29001,"Adair County, MO",084,"Kansas City-Overland Park-Kansas City, MO-KS"
"MO - Kansas City",29003,"Andrew County, MO",084,"Kansas City-Overland Park-Kansas City, MO-KS"
"MO - Kansas City",29013,"Bates County, MO",084,"Kansas City-Overland Park-Kansas City, MO-KS"
"MO - Kansas City",29015,"Benton County, MO",084,"Kansas City-Overland Park-Kansas City, MO-KS"
"MO - Kansas City",29021,"Buchanan County, MO",084,"Kansas City-Overland Park-Kansas City, MO-KS"
"MO - Kansas City",29025,"Caldwell County, MO",084,"Kansas City-Overland Park-Kansas City, MO-KS"
"MO - Kansas City",29033,"Carroll County, MO",084,"Kansas City-Overland Park-Kansas City, MO-KS"
"MO - Kansas City",29037,"Cass County, MO",084,"Kansas City-Overland Park-Kansas City, MO-KS"
"MO - Kansas City",29041,"Chariton County, MO",084,"Kansas City-Overland Park-Kansas City, MO-KS"
"MO - Kansas City",29047,"Clay County, MO",084,"Kansas City-Overland Park-Kansas City, MO-KS"
"MO - Kansas City",29049,"Clinton County, MO",084,"Kansas City-Overland Park-Kansas City, MO-KS"
"MO - Kansas City",29061,"Daviess County, MO",084,"Kansas City-Overland Park-Kansas City, MO-KS"
"MO - Kansas City",29063,"DeKalb County, MO",084,"Kansas City-Overland Park-Kansas City, MO-KS"
"MO - Kansas City",29075,"Gentry County, MO",084,"Kansas City-Overland Park-Kansas City, MO-KS"
"MO - Kansas City",29079,"Grundy County, MO",084,"Kansas City-Overland Park-Kansas City, MO-KS"
"MO - Kansas City",29081,"Harrison County, MO",084,"Kansas City-Overland Park-Kansas City, MO-KS"
"MO - Kansas City",29083,"Henry County, MO",084,"Kansas City-Overland Park-Kansas City, MO-KS"
"MO - Kansas City",29087,"Holt County, MO",084,"Kansas City-Overland Park-Kansas City, MO-KS"
"MO - Kansas City",29095,"Jackson County, MO",084,"Kansas City-Overland Park-Kansas City, MO-KS"
"MO - Kansas City",29101,"Johnson County, MO",084,"Kansas City-Overland Park-Kansas City, MO-KS"
"MO - Kansas City",29103,"Knox County, MO",084,"Kansas City-Overland Park-Kansas City, MO-KS"
"MO - Kansas City",29107,"Lafayette County, MO",084,"Kansas City-Overland Park-Kansas City, MO-KS"
"MO - Kansas City",29115,"Linn County, MO",084,"Kansas City-Overland Park-Kansas City, MO-KS"
"MO - Kansas City",29117,"Livingston County, MO",084,"Kansas City-Overland Park-Kansas City, MO-KS"
"MO - Kansas City",29121,"Macon County, MO",084,"Kansas City-Overland Park-Kansas City, MO-KS"
"MO - Kansas City",29129,"Mercer County, MO",084,"Kansas City-Overland Park-Kansas City, MO-KS"
"MO - Kansas City",29147,"Nodaway County, MO",084,"Kansas City-Overland Park-Kansas City, MO-KS"
"MO - Kansas City",29159,"Pettis County, MO",084,"Kansas City-Overland Park-Kansas City, MO-KS"
"MO - Kansas City",29165,"Platte County, MO",084,"Kansas City-Overland Park-Kansas City, MO-KS"
"MO - Kansas City",29171,"Putnam County, MO",084,"Kansas City-Overland Park-Kansas City, MO-KS"
"MO - Kansas City",29177,"Ray County, MO",084,"Kansas City-Overland Park-Kansas City, MO-KS"
"MO - Kansas City",29185,"St. Clair County, MO",084,"Kansas City-Overland Park-Kansas City, MO-KS"
"MO - Kansas City",29195,"Saline County, MO",084,"Kansas City-Overland Park-Kansas City, MO-KS"
"MO - Kansas City",29197,"Schuyler County, MO",084,"Kansas City-Overland Park-Kansas City, MO-KS"
"MO - Kansas City",29211,"Sullivan County, MO",084,"Kansas City-Overland Park-Kansas City, MO-KS"
"MO - Kansas City",29227,"Worth County, MO",084,"Kansas City-Overland Park-Kansas City, MO-KS"
"MO - StLouis",17005,"Bond County, IL",160,"St. Louis-St. Charles-Farmington, MO-IL"
"MO - StLouis",17013,"Calhoun County, IL",160,"St. Louis-St. Charles-Farmington, MO-IL"
